ID,식물명,식물영명,생육온도,겨울최저온도,습도,물주기(봄),물주기(여름),물주기(가을),물주기(겨울),관리요구도,광도_낮음,광도_중간,광도_높음,장소_발코니 창측,장소_발코니 내측,장소_거실 창측,장소_거실 내측,장소_실내 어두운 곳,독성_여부(1=있음),꽃피는계절_봄,꽃피는계절_여름,꽃피는계절_가을,꽃피는계절_겨울
12938,가울테리아,Checkerberry,2,1,2,2,2,2,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0
12954,개운죽,Sander's dracaena,2,5,2,3,3,3,2,1,1,1,1,1,1,1,1,0,1,0,0,0,0
12955,골드크레스트 '윌마',Monterey cypress,2,4,2,2,2,2,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0
12957,공작야자,Fish tail palm,3,5,3,2,2,2,2,3,0,1,1,1,1,1,0,0,0,0,1,0,0
12962,관엽베고니아,foliage begonia,2,5,2,2,2,2,2,2,0,1,1,1,1,1,0,0,0,1,0,0,0
12963,관음죽,Fan Palms,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0
12966,구문초,rose geranium,2,4,2,2,2,2,1,3,0,1,1,1,1,1,0,0,1,1,1,0,0
12972,구즈마니아,Striped torch,3,5,2,2,2,2,2,3,0,1,1,1,1,1,0,0,0,1,1,0,0
12974,군자란,Scarlet Caffir Lily,2,4,2,2,2,2,1,2,0,1,1,1,1,1,0,0,1,1,1,0,0
12988,글레코마,Ground ivy,2,2,2,2,2,2,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0
12990,금목서,sweet Osmanthus,2,1,2,2,2,2,2,1,0,1,1,1,1,1,0,0,0,0,0,1,0
12994,금사철나무,goldheart euonymus,2,1,2,2,2,2,1,2,0,1,1,1,1,1,1,0,0,0,0,0,0
12998,금식나무,Spottedlaurel,2,1,2,2,2,2,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0
13186,금전수,Eternity Plant,2,5,2,2,2,2,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0
13196,금천죽,Belgian Evergreen,2,5,2,2,2,2,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0
13199,기누라,Purple-Passion Vine,2,5,2,2,2,2,1,3,0,1,1,1,1,1,0,0,0,0,0,0,0
13201,꽃베고니아,Wax Begonias,3,5,3,3,3,2,1,2,0,0,1,1,1,1,0,0,0,1,1,1,0
13202,나도풍란,The Japan Sedirea,3,3,3,1,1,1,1,3,0,1,0,1,1,0,0,0,0,1,1,0,0
13203,나한송,Buddhist Pine,1,2,2,3,3,3,2,1,0,1,1,1,1,1,0,0,1,0,0,0,0
13206,남천,Heavenly bamboo,2,2,2,2,2,2,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0
13207,네마탄투스,Goldfish Plant,2,4,2,2,2,2,1,2,0,1,1,1,1,1,0,0,0,1,1,0,0
13208,네오레겔리아,Blushing Bromeliad,2,5,3,2,2,2,2,3,0,1,1,1,1,1,0,0,0,1,1,0,0
13210,녹영,String of Pearls,2,5,2,1,1,1,1,3,0,1,1,1,1,1,0,0,1,0,0,0,0
13218,뉴기니아봉선화,New Guinea impatiens,3,5,1,3,3,2,1,2,0,1,1,1,1,1,0,0,0,1,1,1,0
13333,대만고무나무,Indian Laurel,3,5,2,2,2,2,1,3,0,1,1,1,1,1,1,0,0,0,0,0,0
13335,더피고사리,Lemon Button Fern,2,5,3,3,3,3,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0
13336,덕구리난,Elephants Foot,3,5,1,2,2,2,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
13337,데코라고무나무,Decora(Wideleaf ) Rubber plant,3,5,2,2,2,2,1,3,0,1,1,1,1,1,0,0,1,0,0,0,0
13338,덴파레,Cocktown orchid,3,5,2,1,1,1,1,2,0,0,1,1,1,1,0,0,0,1,1,1,1
13339,도깨비고비,Holly fern,2,1,1,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0
13340,돈나무,bottle ponytail,2,1,2,2,2,2,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
14663,동백,common camellia,2,1,2,2,2,2,1,3,0,0,1,1,1,1,0,0,0,1,0,0,1
14674,둥근잎 아랄리아,false aralia,3,5,2,2,2,2,1,3,0,1,1,1,1,1,1,0,0,0,0,0,0
14675,듀란타,Golden - dewdrop,3,5,2,2,2,2,1,3,0,0,1,1,1,1,0,0,0,1,1,0,0
